지역,매장,테마,별점,난이도,리뷰수
대전,셜록홈즈 대전 신세계백화점,무한의 던전,7.69,3,93
의정부,룸즈에이 의정부점,뽀득뽀득,7.68,5,28
부산,머더파커 부산점,잭(JACK),7.68,4,142
서울(기타),방탈출 미로,PINO,7.67,8,163
성남,제로월드 서현점,홈어웨이,7.67,5,131
홍대,히든 스위치 홍대점,MISSING,7.66,6,526
강원,셜록홈즈 원주점,시간관리국,7.65,0,17
신촌,더클루 신촌프리미엄점,호그와트 - 후플푸프,7.65,7,374
수원,메타이스케이프,투 제트,7.65,6,217
강남,키이스케이프 강남점,월야애담,7.65,3,547
신촌,마스터키 프라임 신촌퍼블릭점,그도... 그럴 것이다,7.64,6,388
강남,비밀의 화원 강남 리버타운점,만화 : 늦게 피어난 꽃,7.64,2,461
서울(기타),셜록홈즈 종각점,죽음의 신,7.63,9,188
홍대,싸인 이스케이프 홍대점,졸업,7.63,6,539
천안,마스터키 천안신부점,라퓨타,7.63,4,234
대전,마스터키 궁동점,화이트룸,7.62,0,21
홍대,비밀의 숲,BESTSELLER,7.62,7,124
경기(기타),시크릿도어 방탈출,기밀벙커 SECTOR 6,7.62,6,200
대구,황금열쇠 대구동성로 2호점 (더킹),PILGRIM,7.62,5,160
광주,숨바꼭질 1호점,꽃배,7.62,5,258
대구,지구별 방탈출,단디해라,7.62,3,334
강원,셜록홈즈 원주점,홍연,7.61,0,23
경기(기타),제로월드 김포점,탈옥 : 특별수용소,7.61,8,203
강남,비트포비아 강남 던전,LOST KINGDOM : 잊혀진 전설,7.6,5,634
강남,Studio ESC,검은마법사,7.58,6,130
수원,싸인 이스케이프 인계점,GATE : CCZ (episode 1),7.57,9,255
강남,플레이포인트랩 강남점,리허설,7.56,7,367
성남,넥스트에디션 분당서현점,몽중몽,7.56,6,383
강남,넥스트에디션 강남 5호점,그래도 피망은 먹기 싫단 말이에욧,7.56,5,587
일산,룸즈에이 일산웨스턴돔점,뽀득뽀득,7.56,5,86
잠실,제로월드 롯데월드점,아랑_굶주린이리,7.56,3,287
경기(기타),래빗온더문,의뢰인,7.55,9,190
건대,넥스트에디션 건대 2호점,동화나라 수비대,7.55,8,416
대구,셜록홈즈 대구동성로점,지프리트의 심장,7.55,7,47
강남,플레이포인트랩 강남점,STAFF ONLY,7.54,7,142
강남,키이스케이프 강남점,살랑살랑 연구소,7.54,2,522
경기(기타),제로월드 김포점,제로호텔,7.53,8,190
성남,상상의문 분당서현점,셔플월드,7.53,5,247
성남,상상의문 분당서현점,HERE I AM,7.53,3,255
홍대,이스케이퍼스 1호점,싸이코메트리,7.52,8,302
부산,머더파커 부산점,레디(Ready),7.52,4,123
대구,머더파커 대구점,파커vs파커,7.51,6,211
홍대,비트포비아 던전 101,LET'S PLAY,7.51,4,565
강남,도어이스케이프 강남 가든점,INSERT COIN,7.51,4,450
경기(기타),셜록홈즈 용인동백점,디핵스,7.5,0,4
부산,셜록홈즈 부산아트몰링점,우당탕 해결사무소,7.5,0,4
포항,룸즈에이 포항점,Secret Agent,7.5,0,20
홍대,비밀의 숲,어비스,7.5,7,406
안산,꿈소풍 안산 1호점,안산 코노,7.5,4,278
전주,비밀의 화원 전주점,달 : 기억의 조각,7.5,4,46
전라(기타),마스터키 익산점,이불 밖은 위험해,7.5,2,28
건대,넥스트에디션 건대 1호점,몬스터 : 10800,7.49,6,456
강남,룸즈에이 강남점,광야,7.48,7,482
잠실,넥스트에디션 잠실점,작은 악마들,7.48,5,296
강남,플레이더월드 강남점,이상한 나라로 출두요,7.48,4,303
천안,마스터키 천안신부점,터널,7.47,4,223
강남,플레이포인트랩 강남점,더맨,7.46,7,189
부산,다이아에그,레드룸,7.46,6,187
건대,넥스트에디션 건대 2호점,방탈출 아카데미 (Normal 과정),7.45,6,55
성남,제로월드 서현점,사계,7.45,5,104
신림,넥스트에디션 신림점,극,7.44,3,448
전주,키이스케이프 전주점,살랑살랑 연구소,7.44,3,45
대구,머더파커 대구 2호점,전국일이삼,7.43,8,202
건대,비밀의 화원 건대 포레스트점,아인모스,7.42,9,322
인천,마스터키 부평점,노 웨이 아웃,7.42,7,132
강남,스머프 매직 포레스트,파파스머프의 마법실험실,7.42,5,122
안산,리버스 이스케이프 안산점,귀촌:숨바꼭질,7.41,7,29
광주,숨바꼭질 1호점,무죄,7.41,7,234
강남,마스터키 프라임 강남점,ECHO - Beginning Dawn,7.41,6,456
건대,넥스트에디션 건대 2호점,커튼콜,7.4,4,502
신촌,룸익스케이프 올리브점,JUDGE : 정의 집행,7.4,4,260
강원,이스케이프 존 강원대점,제이콥,7.39,10,136
신림,룸엘이스케이프,악몽 (리뉴얼),7.39,9,330
건대,넥스트에디션 건대 2호점,방탈출 아카데미 (Hard 과정),7.39,8,113
신림,넥스트에디션 신림점,Tester,7.39,7,379
부산,마스터키 부산서면점,모모게임,7.39,5,213
성남,제로월드 서현점,폐쇄병동,7.37,0,19
의정부,룸즈에이 의정부점,낭랑카페,7.37,0,19
홍대,이스케이퍼스 1호점,라이브,7.37,8,337
수원,소우주,방과후 추리반 EP2. 여고생 실종사건,7.37,7,298
수원,골든타임 이스케이프,3318,7.37,3,308
노원,마스터키 노원점,통제구역,7.36,9,212
대구,서울 이스케이프 룸 대구 동성로점,엘레베이터,7.36,6,36
대구,룸즈에이 대구동성로 2호점,GRACE HOTEL,7.36,5,140
홍대,이스케이퍼스 2호점,멍스타그램,7.36,4,518
부산,서울 이스케이프 룸 서면점,죽음을 부르는 재즈바,7.35,8,51
신촌,룸익스케이프 화이트점,마카오 : 꼭두각시 광시곡,7.35,6,340
대구,이스케이퍼스 대구점,멍스타그램,7.35,3,34
전주,카오스 이스케이프 2호점,인피니티,7.34,10,124
홍대,머더파커 홍대 1호점,주마등,7.34,7,474
신촌,더클루 신촌프리미엄점,호그와트 - 레번클로,7.34,7,320
전주,머더파커 전주 1호점,일주(ONE WEEK),7.34,6,186
대학로,비밀의 화원 시네마틱 혜화점,달 : 기억의 조각,7.33,6,406
강남,이룸에이트,민초,7.33,4,328
건대,마스터키 건대 로데오점,팬텀,7.32,9,401
잠실,마스터키 잠실점,그리고 아무도 없었다,7.32,6,330
안산,꿈소풍 안산 2호점,말콤 앤 매리언 : 기프트 게임,7.29,8,164
광주,숨바꼭질 1호점,인연,7.29,4,229
강남,플레이더월드 강남점,조선피자몰,7.29,3,504
성남,셜록홈즈 서현점,Molaq : 성 밖 이야기,7.28,9,171
천안,리멤버 방탈출 천안점,미네타닉 : 사건의 진실,7.28,9,136
홍대,스피키지 방탈출,급X,7.27,6,339
부산,다이아에그,닥터 슈나벨,7.27,6,44
강남,도어이스케이프 강남 가든점,둘이라면,7.27,2,388
수원,엑스케이프 수원점,인지상점,7.25,0,20
안산,꿈소풍 안산 2호점,B612,7.25,8,151
대구,룸즈에이 대구동성로점,노블리스트,7.25,6,182
잠실,머더파커 잠실 WOW점,아틀라스(ATLAS),7.25,5,251
홍대,상상의문 홍대점,호러맨스,7.25,4,344
대전,코마 이스케이프 대전둔산점,THINKABLE,7.25,4,51
광주,비밀의 화원 광주점,새벽 베이커리,7.24,5,38
대학로,비밀의 화원 시네마틱 혜화점,도망자 여씨,7.24,4,290
홍대,비밀의 화원 홍대 미드나잇점,"기다려, 금방 갈게",7.23,4,301
대전,셜록홈즈 대전 신세계백화점,세번째밤,7.22,0,18
